cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1001871,2011,0,18750485,9252554,10940322,8076458,5812865,,4525157,56717,-2874214,85253965,,,-2663065,-910130,,,23698,380139,,,,,0.49345678258455716,0,0,-0.048539011124245586,4.546760523794451,1.3545940559586889,,,,,,
1001902,2011,0,225821000,,,23989000,23560000,,,191910000,,202526000,114854000,30431000,-17347000,-21975000,28064000,,,,,,,,,0,0,-0.0973115874962913,0.8968430748247506,NaN,,,,,,
1009925,2011,0,219343,,62161,2511293,,,,-2466162,,100394,0,0,,-132935,,,98552,,,,,,,0,0,-0.6060599152924872,0.45770323192442885,0.024752587611242497,,,,,,
1010566,2011,0,1631815,,849778,704731,9415,418485,,-256206,,8582,12876,3108,-437474,-3209,0,,0,33664,,,,,,0,0,-0.001966521940293477,0.005259174600061894,1.2058189578718688,,,,,,
1011174,2011,0,,1844988000,,,,,,1441048000,,319143000,,,29224000,79055000,,,82734000,,,1662732000,,1662732000,,,1.1538352643354004,,,,NaN,-0.020727344138350035,2980008000,325898000,0.045158603601064155,0
1017491,2011,0,18863638,,8191110,10020683,9145683,,,141215806,-219357406,2973708,,1030026,,-18117198,2110396,,8850467,989242,,,,,,0,0,-0.9604296901795931,0.1576423381322309,0.817420329532428,,,,,,
1017712,2011,0,,,,60655000,117764000,,,129354000,53866000,708244000,465081000,232853000,19247000,-8235000,,247089000,,35729000,,,,,,,0,,,NaN,,,,,,
1023860,2011,0,688118000,635986000,,,,,,57792000,1959000,,,,,684000,,,8778000,,,,,,0.924239737951921,0,0,0.000994015561284547,,,,,,,,
1025877,2011,0,565105000,488182000,,,39314000,,,34699000,47883000,,,,,-12330000,,,5113000,,,,,,0.8638783942807089,0,0,-0.02181895399969917,,,,,,,,
1030206,2011,0,78457000,,,8716000,13726000,14788000,11728000,90805000,-26955000,78443000,,,13582000,9739000,9524000,,13000,,,,,,,0,0,0.1241316899703022,0.9998215583058235,NaN,,,,,,
1032208,2011,0,33356000000,,2332000000,4163000000,912000000,258000000,1198000000,2265000000,8225000000,,,,,-16000000,,,367000000,978000000,,,,,,0,0,-0.0004796738218011752,,0.5601729521979342,0.16989337822671155,,28512000000,,0.039036195286195285,0.021675084175084174
1041514,2011,0,781645000,184789000,400089000,291064000,95263000,3622000,82780000,323006000,392343000,44255000,109858000,,83509000,10465000,5700000,64833000,981000,539000,,0,,,0.23641039090635774,0,0,0.013388430809382776,0.05661777405343858,1.3745739768573235,,,,,,
